busId,busNo,busName,busFinalDest
BID104,104,104 College Park Metro,Regents Drive Garage
BID105,105,105 Campus Connector,Stamp Student Union - Slip
BID108,108,108 Adelphi,Regents Drive Garage
BID109,109,109 River Road,College Park - UMD Metro Station
BID111,111,111 Silver Spring,Stamp Student Union - Slip
BID113,113,113 Hyattsville,Regents Drive Garage
BID114,114,114 University View,Stamp Student Union - Slip
BID115,115,115 Orange,Stamp Student Union - Slip
BID116,116,116 Purple,Stamp Student Union - Slip
BID117,117,117 Blue,Stamp Student Union - Slip
BID118,118,118 Gold,Stamp Student Union - Slip
BID122,122,122 Green,Stamp Student Union - Slip
BID123,123,123 Discovery District,Regents Drive Garage
BID124,124,Shady Grove,Stamp Student Union - Slip
BID126,126,126 New Carrolton,Stamp Student Union - Slip
BID127,127,127 Mazza GrandMarc,Regents Drive Garage
BID128,128,128 The Enclave,Stamp Student Union - Slip
BID131,131,131 MGM/Enclave,Stamp Student Union - Slip
BID132,132,132 The Varsity,Stamp Student Union - Slip
BID133,133,133 Grocery Shopping Shuttle,Regents Drive Garage
BID140,140,140 UMB Law,Stamp Student Union - Slip
BID141,141,141 Gaithersburg Park & Ride,Stamp Student Union - Slip
BID142,142,142 Columbia Park & Ride,Regents Drive Garage
BID143,143,143 Greenbelt,Regents Drive Garage
BIDBSE,BSE,Bowie State - Enclave Express,Bowie State University
