revId,revRating,revDate,revText
TS67FlVZoTd1PBGWKABJqA,5,2019-07-10 08:54:37,"For a 1st time visit this place was amazing! The service was great and it was affordable too. I ordered the crab fried rice, calamari, mochi ice cream, and..."
uPI4LkkuOntW9gS6SZw-cg,3,2019-10-08 16:46:06,"I have been here several times, mostly because some of my friends really like this place. Honestly, I would recommend Ruan Thai or Nava Thai over this..."
64Teyh5BP_JxOYuU7C8JIQ,5,2019-06-15 13:27:43,"The food is consistently great and I highly recommend their delivery service - fast & no fees, worthy of a good tip!

I ordered at 8:30pm Friday and..."
z4GN896uCw4YWZBeL5hiYQ,5,2019-11-09 05:22:45,"4.5 stars, but I'll round up because I was pleasantly surprised by Krazy Steve's. The location is unassuming, so I wasn't expecting much. Who knew that you..."
HbsXHT7wW9etlvMHp9r67A,1,2019-10-02 16:40:14,"So I'm not too big into Yelp, but I created this account just so I could leave this review. 

We got there and it was very very dead. No customers were..."
h7Y3OTmaE-V-LGmB_a5NYw,4,2019-08-04 16:13:42,"I liked this place and want it to do well. I won't judge the other yelp reviews, but disagree with some key points. I had the pulled pork and brisket to-go...."
6B3j5wFZ0c10eFKgzbtGtQ,4,2019-05-21 17:56:57,Have been to DuPont a million times and never noticed this small hole in the wall cafe. Stopped by on a rainy day for a quick bite to eat. Service was quick...
8TRXTS-glxUqmwNEt8YxQw,3,2019-05-16 16:52:11,"Inside: The decor on the walls of with articles of celebrities that have passed by the cafe are definitely one of the main highlights

Good tasting lamb and..."
aK2Bda1RUev9Qp4b-0xUfA,5,2019-07-13 11:31:39,"This was some of the best Mediterranean food I have had since I was in the Mediterranean last. The shish kabob platter was made with whole chunks of lamb,..."
DB8JY9QGDPRP_iwLlhfztA,4,2018-07-15 20:28:45,"In the middle of our errands for the day, I desperately needed a snack/late lunch. On our way to Ikea, I yelped some places that were on the way and found a..."
81IGHujlCSx9XmfXKiUFmA,4,2018-07-10 13:31:22,"Stopped by for some lunch here one Monday afternoon, getting a fairly well done cheeseburger with lettuce and a bottle of water, all for $7. Fairly clean..."
41LlYjhkOTvM0pdNr7fmEw,4,2017-05-21 22:05:19,"Looks like new ownership of the My Las Delicias Deli, although the sign has not been changed. Smaller menu, only one page one side. I was impressed with the..."
pII3qj-i1Et60ZZA_H-LVw,5,2019-07-16 17:15:30,"Beat McDonald's I've had in the DC metro area. I've been to all of them. 5 stars. 

I got burgers and chicken sandwiches, both stellarly cooked by a..."
iJMtpA_Besgqk_CXhwLRyA,1,2019-10-10 06:39:51,Staff needs customer service training......took my daughter there yesterday evening to get a McDouble and fry.......the sandwich was hard and fries were...
Vds3SN0KFzOvF7YTnk17yQ,2,2019-05-11 06:27:39,"Fries are always overcooked, and nearly crisply burned. Every time I have ordered a Southwest Salad it is always missing ingredients once it was missing..."
84ViuPb9gpsBeDKA4W0LbA,5,2018-11-15 06:19:13,"We were in the area for lunch and decided to walk around Dupont Circle.

Nice place to walk around, enjoy the trees, look at the birds, sit on a bench and..."
nhWueBzpdlhMBFU_ZTEazQ,1,2019-11-13 20:09:03,"Can WMATA executives do something about how freezing cold this station is( years) ! It's always colder than outside...and yet, prices keep increasing and..."
cNDDvGD8GCx4H__CtQ7kWA,4,2019-01-09 01:16:55,Ok. I'm going to break down and finally review the circle. The traffic circle around this park is one of the more confusing traffic implements in the city...
Fyen2Qgqd7Cb65el2Zs6sw,5,2019-10-24 17:10:34,This place is so good! We found it by searching the area around our hotel. It was an easy 10 minute walk from the hotel at 14th and H. We arrived and were...
q_nGgSQiQUsf7dLJAnHAgw,1,2019-11-04 11:43:59,"Capitol City Brewing was conveniently located diagonally across our hotel, the Grand Hyatt, and so my drinking partner and I decided to stop by for quick..."
nBOLAYBj_RRvKnUt7qJPkw,1,2019-11-02 14:41:09,A 1 star is not deserving. This bartender OSCAr is an a&@hole. I'm not from the area I'm from Boston. Never had an experience like this. The bartender...
ur0rYS-5K2I1-Dpj3naskQ,5,2018-07-19 10:00:17,This was such a gem being from NYC I met the owner Edwin and his side kick from NJ. The salvadoreñas parrillada was off the hook the steak and onion...
0XuZI4t1m51F4XKQwUys_Q,4,2019-04-01 11:54:59,This is my first time ordering here. I ordered from Ubereats and was curious if the food was good or not. But I mainly ordered here so I can try if the...
