cusId,resId,revId
yp6qVal-dnBkIQEqEqit1w,_-5tDzcwylu7MyKsmXDD6Q,TS67FlVZoTd1PBGWKABJqA
jYquMnMQp-tr78mmPCQwpQ,_-5tDzcwylu7MyKsmXDD6Q,uPI4LkkuOntW9gS6SZw-cg
IY83XzLtkElfaX1rpJMoDA,_-5tDzcwylu7MyKsmXDD6Q,64Teyh5BP_JxOYuU7C8JIQ
hSkI802XqTrcx_hB2FKLaA,_14dBdmGCxnNuHBH7-vOWQ,z4GN896uCw4YWZBeL5hiYQ
N_SIgQpg30dmpEsw3i-T-g,_14dBdmGCxnNuHBH7-vOWQ,HbsXHT7wW9etlvMHp9r67A
TFYOkpzFXFBORCmo_9wIcQ,_14dBdmGCxnNuHBH7-vOWQ,h7Y3OTmaE-V-LGmB_a5NYw
wO9TPd-8UoY7vmSsqgf9qA,_3LhPRuwGwLbsFq9ovdtrw,6B3j5wFZ0c10eFKgzbtGtQ
ajTRCb06uarziFPCZKit5Q,_3LhPRuwGwLbsFq9ovdtrw,8TRXTS-glxUqmwNEt8YxQw
cnn3u_O0d9WORsEbhf0shQ,_3LhPRuwGwLbsFq9ovdtrw,aK2Bda1RUev9Qp4b-0xUfA
TiRcC_nCW_xIt9J03zgHkg,_7OBGbIqx8K5rnucjUr_Pg,DB8JY9QGDPRP_iwLlhfztA
Qss-8g6xgZZmiXXxlfbLcQ,_7OBGbIqx8K5rnucjUr_Pg,81IGHujlCSx9XmfXKiUFmA
6VwkxUKDztQ9M1B8r5GXiQ,_7OBGbIqx8K5rnucjUr_Pg,41LlYjhkOTvM0pdNr7fmEw
KW4peDzzU7czXY2egPR0Hw,_7TQaKnmtAB7IX8tKB_lyw,pII3qj-i1Et60ZZA_H-LVw
jVX9lR1NSyJX5eNklTt2TQ,_7TQaKnmtAB7IX8tKB_lyw,iJMtpA_Besgqk_CXhwLRyA
KF24V0DR9qAcqiWBn9O-Dg,_7TQaKnmtAB7IX8tKB_lyw,Vds3SN0KFzOvF7YTnk17yQ
dHxvSPU6PZqX1LQRXajGDQ,_91SH2SLQ_12M25RgrI_FQ,84ViuPb9gpsBeDKA4W0LbA
7vGoMaucuA495qF7OZt80g,_91SH2SLQ_12M25RgrI_FQ,nhWueBzpdlhMBFU_ZTEazQ
XqrRTHQmXK0KoOACtl0WFA,_91SH2SLQ_12M25RgrI_FQ,cNDDvGD8GCx4H__CtQ7kWA
970YlfubcATt-Bl8LGocFw,_9iGmwzbSvT8Km9RMet9OA,Fyen2Qgqd7Cb65el2Zs6sw
2CgLe_T0JLIhEGbg60ThEA,_9iGmwzbSvT8Km9RMet9OA,q_nGgSQiQUsf7dLJAnHAgw
eXBApq7WnDLW0pRmSHRj5Q,_9iGmwzbSvT8Km9RMet9OA,nBOLAYBj_RRvKnUt7qJPkw
t-CgepilG9t8fpHBdt284w,_9itFimlm02TMGGcnwoopQ,ur0rYS-5K2I1-Dpj3naskQ
bshmiA6S4iQz0_Jua_b5Zw,_9itFimlm02TMGGcnwoopQ,0XuZI4t1m51F4XKQwUys_Q
rwH7BNPe_5eqFOo0J2NHbg,_9itFimlm02TMGGcnwoopQ,2OTl-2zPQ25fjFIfdCKFOA
64obkW6NQqQ-JWMnmhWMQw,_a2Le29gJgpnf9YcaZTiFw,vIyWXCaOe-0n6GGGpg0SRA
uih53bykBGPNn3Lv09ofkA,_a2Le29gJgpnf9YcaZTiFw,Z4VUL2H43GE6kKvvCSKUuQ
huJA3xy47N6E7XY2FrkHgg,_a2Le29gJgpnf9YcaZTiFw,y78Ken_1EOBkb8kZd3JCww
